id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
24203621,Rental unit in Montréal · ★4.75 · Studio · 2 beds · 1 bath,70058293,Mary & Jim,,Rosemont-La Petite-Patrie,45.54337,-73.57877,Entire home/apt,54,31,48,2023-07-06,0.76,12,337,4,
24210021,Rental unit in Montréal · ★4.56 · 2 bedrooms · 3 beds · 1 bath,268793015,Alex,,Le Plateau-Mont-Royal,45.5175,-73.57057,Entire home/apt,347,1,144,2023-08-27,2.19,4,64,22,"296945, expires: 2023-10-31T15:16:15Z"
24230092,Rental unit in Montréal · ★4.84 · 2 bedrooms · 2 beds · 1.5 baths,166593129,Jacques,,Ville-Marie,45.52231,-73.56143,Entire home/apt,179,32,32,2023-04-16,0.49,2,0,4,
24347171,Rental unit in Montréal · ★4.96 · 4 bedrooms · 6 beds · 2 baths,57330016,Hayley,,Le Plateau-Mont-Royal,45.51566,-73.57498,Entire home/apt,342,31,80,2023-08-23,1.28,15,0,18,304477
24349120,Loft in Montréal · ★4.95 · 3 bedrooms · 5 beds · 1 bath,156996091,Hung,,Ville-Marie,45.50515,-73.55708,Entire home/apt,450,2,215,2023-08-13,3.40,4,139,46,"300080, expires: 2024-06-30"
24349966,Rental unit in Montréal · ★4.87 · 2 bedrooms · 2 beds · 1 bath,181606487,Francis,,Ville-Marie,45.51219,-73.55625,Entire home/apt,237,1,266,2023-08-23,4.07,3,0,40,"314146, expires: 2024-06-14T14:48:14Z"
24358023,Rental unit in Montréal · ★4.93 · 2 bedrooms · 3 beds · 1 bath,141009075,Michel,,Ahuntsic-Cartierville,45.54731,-73.6448,Entire home/apt,171,32,83,2023-07-15,1.27,3,146,3,
24370159,Rental unit in Montréal · 2 bedrooms · 2 beds · 2 baths,387422,Service,,Ville-Marie,45.49813,-73.57263,Entire home/apt,164,180,0,,,20,215,0,
24372220,Rental unit in Montréal · ★5.0 · 12 bedrooms · 24 beds · 4.5 baths,7250257,Stewie,,Le Plateau-Mont-Royal,45.51607,-73.58292,Entire home/apt,5000,32,8,2019-09-22,0.12,18,364,0,
24404168,Rental unit in Montréal · ★4.80 · 1 bedroom · 1 bed · 1.5 shared baths,11035591,Florence,,Côte-des-Neiges-Notre-Dame-de-Grâce,45.4963,-73.62556,Private room,35,60,5,2023-07-01,0.10,1,242,1,
24409767,Rental unit in Montréal · ★4.88 · 2 bedrooms · 2 beds · 1 bath,8584844,Daniel,,Le Plateau-Mont-Royal,45.53077,-73.57198,Entire home/apt,50,31,16,2022-11-19,0.26,4,176,2,
24410988,Rental unit in Montréal · ★4.89 · 1 bedroom · 1 bed · 1 bath,181606487,Francis,,Ville-Marie,45.51434,-73.56366,Entire home/apt,65,31,143,2022-09-04,2.22,3,0,1,"314146, expires: 2024-06-14"
24432056,Condo in Montréal · ★4.73 · 2 bedrooms · 5 beds · 1 bath,32017380,Thi Kim Ngoc,,Ahuntsic-Cartierville,45.56369,-73.65225,Entire home/apt,130,5,88,2023-08-29,1.37,2,240,17,"296832, expires: 2024-09-30"
24432833,Condo in Montréal · ★4.81 · 2 bedrooms · 4 beds · 1 bath,32017380,Thi Kim Ngoc,,Ahuntsic-Cartierville,45.56385,-73.65121,Entire home/apt,130,31,54,2023-08-29,0.83,2,325,21,"296832, expires: 2024-09-30"
24444037,Rental unit in Montréal · ★4.86 · 2 bedrooms · 2 beds · 1 bath,4380365,Eric,,Le Plateau-Mont-Royal,45.52155,-73.5773,Entire home/apt,215,31,333,2023-08-31,5.09,1,36,78,304205
24447714,Rental unit in Montréal · ★5.0 · 1 bedroom · 1 bed · 1 bath,14467611,David,,Le Sud-Ouest,45.47635,-73.57282,Entire home/apt,139,31,27,2023-08-29,0.44,1,71,9,"312456, expires: 2024-04-04"
24477621,Home in Montréal · ★4.50 · 1 bedroom · 1 bed · 1 shared bath,38250611,Gilly,,Côte-des-Neiges-Notre-Dame-de-Grâce,45.49602,-73.63775,Private room,31,31,3,2022-12-20,0.05,5,159,1,
24497835,Condo in Montréal · ★4.73 · Studio · 1 bed · 1 bath,183835366,Jonathan,,Ville-Marie,45.5036,-73.56436,Entire home/apt,199,31,430,2023-08-16,6.69,2,116,81,301184
24498746,Condo in Montréal · Studio · 1 bed · 1 bath,9816119,Maeva,,Ville-Marie,45.49978,-73.55757,Entire home/apt,55,180,2,2021-06-30,0.07,1,160,0,
24499237,Rental unit in Montréal · 1 bedroom · 1 bed · 1 bath,40526309,Alain,,Ville-Marie,45.49894,-73.55982,Entire home/apt,64,1125,0,,,2,337,0,
24517435,Rental unit in Montréal · ★4.77 · 1 bedroom · 1 bed · 1 bath,9074713,Jozef,,Le Plateau-Mont-Royal,45.52498,-73.58417,Entire home/apt,209,31,61,2023-05-20,0.97,1,39,10,
24534934,Rental unit in Montreal · ★5.0 · 2 bedrooms · 2 beds · 1.5 baths,73201213,Claire,,Côte-des-Neiges-Notre-Dame-de-Grâce,45.48606,-73.63719,Entire home/apt,99,32,5,2021-07-01,0.11,2,0,0,
24537425,Loft in Montréal · ★5.0 · 1 bedroom · 1 bed · 1 bath,185354813,François,,Le Plateau-Mont-Royal,45.52897,-73.57567,Entire home/apt,249,31,12,2023-08-13,0.18,1,117,5,"297608, expires: 2024-04-19"
24572346,Townhouse in Montréal · 1 bedroom · 2 beds · 1 bath,1991297,Gabriel,,Le Sud-Ouest,45.4759,-73.58833,Private room,110,31,0,,,2,364,0,
24574973,Condo in Montréal · ★4.78 · 1 bedroom · 1 bed · 1 shared bath,11361475,Adrien,,Ville-Marie,45.52739,-73.55571,Private room,87,1,189,2023-08-28,2.92,1,319,61,"301596, expires: 2024-05-31"
24579106,Rental unit in Montréal · ★4.36 · 1 bedroom · 1 bed · 1 bath,105556222,Benoit,,Mercier-Hochelaga-Maisonneuve,45.60414,-73.51303,Entire home/apt,35,31,22,2023-03-28,0.37,1,228,1,
24597889,Rental unit in Montréal · ★4.84 · 1 bedroom · 1 bed · 1 shared bath,84552960,Veronica,,Côte-des-Neiges-Notre-Dame-de-Grâce,45.48464,-73.63279,Private room,27,31,19,2023-08-18,0.29,2,110,8,
24604410,Townhouse in Montréal · ★4.90 · 4 bedrooms · 12 beds · 2.5 baths,13376114,Rod,,Le Plateau-Mont-Royal,45.5193,-73.57322,Entire home/apt,2148,31,51,2023-08-13,0.84,2,237,20,"297582, expires: 2024-04-30"
